Metodo,Iteracoes,PiCalculado,ErroAbsoluto,Tempo_s
Sequencial,10,3.041839618929403,0.099753034660390,0.000000195
ILP,10,3.058402765927332,0.083189887662461,0.000000098
Sequencial,100,3.131592903558554,0.009999750031239,0.000000195
ILP,100,3.131592903558554,0.009999750031239,0.000000195
Sequencial,1000,3.140592653839794,0.000999999749999,0.000001559
ILP,1000,3.140592653839794,0.000999999749999,0.000001656
Sequencial,10000,3.141492653590034,0.000099999999759,0.000015590
ILP,10000,3.141492653590070,0.000099999999724,0.000015688
Sequencial,100000,3.141582653589720,0.000010000000073,0.000156292
ILP,100000,3.141582653589966,0.000009999999827,0.000156291
Sequencial,1000000,3.141591653589774,0.000001000000019,0.001628689
ILP,1000000,3.141591653590345,0.000000999999448,0.001633171
Sequencial,10000000,3.141592553589792,0.000000100000002,0.016601225
ILP,10000000,3.141592553590745,0.000000099999048,0.015857281
Sequencial,100000000,3.141592643589326,0.000000010000467,0.169370973
ILP,100000000,3.141592643596612,0.000000009993181,0.145745290
